"","year","sex","education","vocabulary","year_group"
"20080977",2008,"Male",16,4,"(1995,2016]"
"20081937",2008,"Male",15,5,"(1995,2016]"
"19931458",1993,"Female",12,8,"[1974,1995]"
"19910845",1991,"Male",12,3,"[1974,1995]"
"20100537",2010,"Female",18,9,"(1995,2016]"
"19981606",1998,"Female",18,8,"(1995,2016]"
"20001955",2000,"Female",15,5,"(1995,2016]"
"19890994",1989,"Male",13,5,"[1974,1995]"
"19870738",1987,"Male",6,4,"[1974,1995]"
"20162377",2016,"Female",12,6,"(1995,2016]"
"20000616",2000,"Male",18,8,"(1995,2016]"
"19840391",1984,"Male",18,8,"[1974,1995]"
"19781069",1978,"Male",14,5,"[1974,1995]"
"19940971",1994,"Female",12,5,"[1974,1995]"
"20141735",2014,"Male",20,9,"(1995,2016]"
"19981176",1998,"Male",14,5,"(1995,2016]"
"20161600",2016,"Male",13,7,"(1995,2016]"
"20061677",2006,"Male",11,6,"(1995,2016]"
"19891154",1989,"Male",12,6,"[1974,1995]"
"19930310",1993,"Male",13,7,"[1974,1995]"
"19820130",1982,"Male",16,6,"[1974,1995]"
"19740404",1974,"Male",16,6,"[1974,1995]"
"20060027",2006,"Female",5,5,"(1995,2016]"
"19780244",1978,"Female",16,6,"[1974,1995]"
"19931024",1993,"Female",12,4,"[1974,1995]"
"20001010",2000,"Female",11,6,"(1995,2016]"
"20162312",2016,"Male",16,8,"(1995,2016]"
"19941792",1994,"Female",10,4,"[1974,1995]"
"19941261",1994,"Male",12,6,"[1974,1995]"
"19820931",1982,"Male",14,3,"[1974,1995]"
"20063828",2006,"Female",12,0,"(1995,2016]"
"19931375",1993,"Female",13,7,"[1974,1995]"
"19942531",1994,"Male",13,3,"[1974,1995]"
"19840202",1984,"Female",14,9,"[1974,1995]"
"19840886",1984,"Female",12,5,"[1974,1995]"
"19980944",1998,"Male",14,9,"(1995,2016]"
"19962582",1996,"Female",12,8,"(1995,2016]"
"19761184",1976,"Female",6,3,"[1974,1995]"
"19741102",1974,"Male",16,10,"[1974,1995]"
"20001153",2000,"Male",14,8,"(1995,2016]"
"20141897",2014,"Female",16,7,"(1995,2016]"
"19981090",1998,"Male",9,6,"(1995,2016]"
"19961927",1996,"Male",15,2,"(1995,2016]"
"19960290",1996,"Male",14,4,"(1995,2016]"
"20161978",2016,"Female",17,6,"(1995,2016]"
"19942354",1994,"Male",12,5,"[1974,1995]"
"20040855",2004,"Female",16,7,"(1995,2016]"
"19981309",1998,"Male",14,9,"(1995,2016]"
"19841202",1984,"Female",13,8,"[1974,1995]"
"19870341",1987,"Female",16,6,"[1974,1995]"
"20061341",2006,"Female",16,9,"(1995,2016]"
"19931301",1993,"Male",12,4,"[1974,1995]"
"19820980",1982,"Male",16,8,"[1974,1995]"
"20062971",2006,"Female",12,8,"(1995,2016]"
"19780296",1978,"Female",12,4,"[1974,1995]"
"20120872",2012,"Male",14,5,"(1995,2016]"
"19982173",1998,"Male",14,7,"(1995,2016]"
"19961731",1996,"Male",12,6,"(1995,2016]"
"19881280",1988,"Female",17,6,"[1974,1995]"
"19931321",1993,"Female",12,9,"[1974,1995]"
"19942006",1994,"Female",18,9,"[1974,1995]"
"19821160",1982,"Female",8,7,"[1974,1995]"
"19960444",1996,"Female",11,5,"(1995,2016]"
"19761125",1976,"Female",12,6,"[1974,1995]"
"19870965",1987,"Female",8,5,"[1974,1995]"
"19840362",1984,"Female",12,4,"[1974,1995]"
"19871194",1987,"Male",12,5,"[1974,1995]"
"20140305",2014,"Female",16,5,"(1995,2016]"
"19930994",1993,"Female",13,6,"[1974,1995]"
"20080942",2008,"Male",12,6,"(1995,2016]"
"20121587",2012,"Female",20,8,"(1995,2016]"
"19910941",1991,"Female",12,8,"[1974,1995]"
"19760509",1976,"Female",12,6,"[1974,1995]"
"19890117",1989,"Male",13,4,"[1974,1995]"
"20060747",2006,"Female",2,8,"(1995,2016]"
"19890227",1989,"Female",20,9,"[1974,1995]"
"20000310",2000,"Female",18,10,"(1995,2016]"
"20101762",2010,"Female",10,4,"(1995,2016]"
"20120453",2012,"Male",16,9,"(1995,2016]"
"19901248",1990,"Female",14,5,"[1974,1995]"
"19900736",1990,"Male",14,6,"[1974,1995]"
"20140303",2014,"Female",16,9,"(1995,2016]"
"20001193",2000,"Male",12,9,"(1995,2016]"
"20062383",2006,"Female",14,5,"(1995,2016]"
"19981516",1998,"Female",14,7,"(1995,2016]"
"20140674",2014,"Male",9,7,"(1995,2016]"
"19872011",1987,"Female",12,6,"[1974,1995]"
"19821500",1982,"Female",11,5,"[1974,1995]"
"20121823",2012,"Female",12,10,"(1995,2016]"
"19942119",1994,"Male",16,5,"[1974,1995]"
"20121403",2012,"Male",10,4,"(1995,2016]"
"19821426",1982,"Male",14,8,"[1974,1995]"
"20064031",2006,"Female",9,8,"(1995,2016]"
"20060774",2006,"Female",13,4,"(1995,2016]"
"20142514",2014,"Female",12,6,"(1995,2016]"
"19961257",1996,"Female",12,6,"(1995,2016]"
"20042538",2004,"Male",12,4,"(1995,2016]"
"19901121",1990,"Male",12,4,"[1974,1995]"
"19780165",1978,"Female",12,9,"[1974,1995]"
"20141759",2014,"Female",15,7,"(1995,2016]"
"19871131",1987,"Male",9,1,"[1974,1995]"
"19980529",1998,"Female",18,10,"(1995,2016]"
"19780461",1978,"Female",12,3,"[1974,1995]"
"20101729",2010,"Male",12,8,"(1995,2016]"
"19880729",1988,"Female",11,1,"[1974,1995]"
"20081031",2008,"Male",16,3,"(1995,2016]"
"19870614",1987,"Female",12,5,"[1974,1995]"
"19840543",1984,"Male",8,8,"[1974,1995]"
"19942778",1994,"Female",10,6,"[1974,1995]"
"19870661",1987,"Female",12,6,"[1974,1995]"
"20162637",2016,"Female",14,8,"(1995,2016]"
"19942861",1994,"Female",18,8,"[1974,1995]"
"19961954",1996,"Male",14,7,"(1995,2016]"
"19781048",1978,"Female",12,7,"[1974,1995]"
"19870264",1987,"Male",13,6,"[1974,1995]"
"20060043",2006,"Male",15,3,"(1995,2016]"
"20160742",2016,"Female",13,3,"(1995,2016]"
"19780141",1978,"Female",9,4,"[1974,1995]"
"20064451",2006,"Female",16,8,"(1995,2016]"
"20160127",2016,"Female",12,6,"(1995,2016]"
"20100747",2010,"Female",18,8,"(1995,2016]"
"19880232",1988,"Female",12,5,"[1974,1995]"
"20001470",2000,"Male",16,6,"(1995,2016]"
"20160358",2016,"Male",16,9,"(1995,2016]"
"20160374",2016,"Female",18,6,"(1995,2016]"
"19890312",1989,"Female",12,7,"[1974,1995]"
"19870452",1987,"Male",19,8,"[1974,1995]"
"19820656",1982,"Female",8,5,"[1974,1995]"
"19880932",1988,"Male",13,5,"[1974,1995]"
"19942403",1994,"Female",16,10,"[1974,1995]"
"20141561",2014,"Male",12,6,"(1995,2016]"
"19942442",1994,"Male",16,6,"[1974,1995]"
"19870300",1987,"Male",12,5,"[1974,1995]"
"19741438",1974,"Female",12,6,"[1974,1995]"
"19911122",1991,"Male",18,10,"[1974,1995]"
"20120276",2012,"Male",14,5,"(1995,2016]"
"19890634",1989,"Female",11,7,"[1974,1995]"
"19781118",1978,"Male",12,8,"[1974,1995]"
"19900405",1990,"Male",12,7,"[1974,1995]"
"20000294",2000,"Female",14,4,"(1995,2016]"
"19901145",1990,"Male",20,10,"[1974,1995]"
"20041130",2004,"Female",12,7,"(1995,2016]"
"20041117",2004,"Male",14,6,"(1995,2016]"
"19961563",1996,"Male",13,6,"(1995,2016]"
"19930147",1993,"Male",20,5,"[1974,1995]"
"19931241",1993,"Female",12,5,"[1974,1995]"
"19880129",1988,"Female",16,10,"[1974,1995]"
"19962657",1996,"Female",8,6,"(1995,2016]"
"20140922",2014,"Female",13,6,"(1995,2016]"
"19781461",1978,"Male",12,6,"[1974,1995]"
"19910978",1991,"Female",11,3,"[1974,1995]"
"19840287",1984,"Female",16,8,"[1974,1995]"
"19930102",1993,"Male",15,7,"[1974,1995]"
"19781154",1978,"Male",18,9,"[1974,1995]"
"19931584",1993,"Male",12,3,"[1974,1995]"
"20142402",2014,"Female",11,5,"(1995,2016]"
"20064265",2006,"Male",16,5,"(1995,2016]"
"20141929",2014,"Female",17,5,"(1995,2016]"
"19940505",1994,"Female",10,5,"[1974,1995]"
"19981301",1998,"Female",10,7,"(1995,2016]"
"19941190",1994,"Female",12,7,"[1974,1995]"
"19780404",1978,"Female",11,6,"[1974,1995]"
"19841449",1984,"Female",11,7,"[1974,1995]"
"19941827",1994,"Female",9,4,"[1974,1995]"
"19900307",1990,"Female",18,8,"[1974,1995]"
"20142012",2014,"Female",14,5,"(1995,2016]"
"19960084",1996,"Female",12,7,"(1995,2016]"
"19880649",1988,"Female",12,7,"[1974,1995]"
"19870941",1987,"Female",20,9,"[1974,1995]"
"20081194",2008,"Male",16,10,"(1995,2016]"
"20041852",2004,"Male",10,4,"(1995,2016]"
"19820636",1982,"Female",14,7,"[1974,1995]"
"19760524",1976,"Female",16,6,"[1974,1995]"
"20063437",2006,"Male",16,8,"(1995,2016]"
"19982373",1998,"Male",13,5,"(1995,2016]"
"19820779",1982,"Male",12,2,"[1974,1995]"
"19760448",1976,"Female",12,10,"[1974,1995]"
"19780410",1978,"Male",10,5,"[1974,1995]"
"19900735",1990,"Male",12,7,"[1974,1995]"
"19820769",1982,"Male",11,5,"[1974,1995]"
"19872154",1987,"Male",17,6,"[1974,1995]"
"19822004",1982,"Male",12,5,"[1974,1995]"
"19870271",1987,"Female",16,7,"[1974,1995]"
"19821149",1982,"Female",12,6,"[1974,1995]"
"19940804",1994,"Female",13,6,"[1974,1995]"
"20080312",2008,"Female",13,4,"(1995,2016]"
"19740854",1974,"Female",10,6,"[1974,1995]"
"19960228",1996,"Male",16,8,"(1995,2016]"
"20121422",2012,"Female",17,4,"(1995,2016]"
"19900302",1990,"Female",12,7,"[1974,1995]"
"19741480",1974,"Male",9,4,"[1974,1995]"
"19781334",1978,"Male",12,5,"[1974,1995]"
"19880861",1988,"Female",10,5,"[1974,1995]"
"19820318",1982,"Male",16,8,"[1974,1995]"
"19781135",1978,"Female",8,3,"[1974,1995]"
"19840605",1984,"Female",12,5,"[1974,1995]"
"19840772",1984,"Female",12,2,"[1974,1995]"
"19781108",1978,"Male",15,4,"[1974,1995]"
"20161569",2016,"Male",20,7,"(1995,2016]"
"19881121",1988,"Female",12,7,"[1974,1995]"
"19942202",1994,"Male",11,6,"[1974,1995]"
"20040537",2004,"Male",9,4,"(1995,2016]"
"19780103",1978,"Male",12,7,"[1974,1995]"
"19780718",1978,"Male",12,4,"[1974,1995]"
"19760073",1976,"Female",12,5,"[1974,1995]"
"20141705",2014,"Male",11,6,"(1995,2016]"
"20040103",2004,"Female",16,7,"(1995,2016]"
"19761725",1976,"Female",12,6,"[1974,1995]"
"19941500",1994,"Female",15,8,"[1974,1995]"
"19940007",1994,"Female",9,5,"[1974,1995]"
"19900400",1990,"Female",11,7,"[1974,1995]"
"20161998",2016,"Female",17,10,"(1995,2016]"
"19820989",1982,"Male",12,7,"[1974,1995]"
"20100402",2010,"Female",14,6,"(1995,2016]"
"19760646",1976,"Female",12,5,"[1974,1995]"
"19910247",1991,"Male",10,5,"[1974,1995]"
"19781408",1978,"Male",12,5,"[1974,1995]"
"19822032",1982,"Female",9,5,"[1974,1995]"
"20101630",2010,"Female",19,7,"(1995,2016]"
"20042802",2004,"Female",14,7,"(1995,2016]"
"19870575",1987,"Female",12,5,"[1974,1995]"
"19941602",1994,"Female",6,9,"[1974,1995]"
"19761362",1976,"Male",12,1,"[1974,1995]"
"19890907",1989,"Female",15,6,"[1974,1995]"
"20160939",2016,"Female",18,7,"(1995,2016]"
"19982580",1998,"Male",16,10,"(1995,2016]"
"20002313",2000,"Female",12,4,"(1995,2016]"
"19880397",1988,"Female",14,8,"[1974,1995]"
"19910471",1991,"Male",12,7,"[1974,1995]"
"20162199",2016,"Male",12,9,"(1995,2016]"
"20120191",2012,"Male",12,9,"(1995,2016]"
"20160221",2016,"Female",12,5,"(1995,2016]"
"20100335",2010,"Female",12,3,"(1995,2016]"
"20080817",2008,"Male",16,2,"(1995,2016]"
"19870591",1987,"Female",13,8,"[1974,1995]"
"20064069",2006,"Female",5,1,"(1995,2016]"
"20161745",2016,"Male",6,10,"(1995,2016]"
"19871425",1987,"Male",19,7,"[1974,1995]"
"19910173",1991,"Male",11,5,"[1974,1995]"
"20100320",2010,"Male",20,4,"(1995,2016]"
"19761171",1976,"Male",12,5,"[1974,1995]"
"19891353",1989,"Male",14,4,"[1974,1995]"
"19930694",1993,"Female",16,4,"[1974,1995]"
"19820370",1982,"Female",12,5,"[1974,1995]"
"19962737",1996,"Male",13,3,"(1995,2016]"
"20160956",2016,"Male",12,5,"(1995,2016]"
"20161880",2016,"Male",18,5,"(1995,2016]"
"19820986",1982,"Male",12,5,"[1974,1995]"
"19960872",1996,"Male",17,2,"(1995,2016]"
"19900805",1990,"Male",16,5,"[1974,1995]"
"20040198",2004,"Male",12,8,"(1995,2016]"
"19870630",1987,"Female",12,6,"[1974,1995]"
"19940353",1994,"Female",11,7,"[1974,1995]"
"19820837",1982,"Female",13,8,"[1974,1995]"
"19900085",1990,"Male",14,3,"[1974,1995]"
"20060496",2006,"Female",13,2,"(1995,2016]"
"19941174",1994,"Male",16,7,"[1974,1995]"
"19760497",1976,"Female",12,7,"[1974,1995]"
"20080915",2008,"Male",14,7,"(1995,2016]"
"19911060",1991,"Female",12,7,"[1974,1995]"
"20161451",2016,"Male",12,6,"(1995,2016]"
"19871067",1987,"Female",10,6,"[1974,1995]"
"20101863",2010,"Female",16,5,"(1995,2016]"
"19761330",1976,"Female",13,4,"[1974,1995]"
"20121594",2012,"Female",12,5,"(1995,2016]"
"19940486",1994,"Female",14,6,"[1974,1995]"
"20162812",2016,"Female",16,4,"(1995,2016]"
"19881385",1988,"Female",12,7,"[1974,1995]"
"20101388",2010,"Female",12,6,"(1995,2016]"
"19870880",1987,"Female",16,10,"[1974,1995]"
"19980056",1998,"Male",20,10,"(1995,2016]"
"20101360",2010,"Female",15,3,"(1995,2016]"
"19760727",1976,"Female",16,8,"[1974,1995]"
"20041733",2004,"Female",8,2,"(1995,2016]"
"20041480",2004,"Male",14,0,"(1995,2016]"
"19940069",1994,"Female",16,8,"[1974,1995]"
"19930400",1993,"Male",16,6,"[1974,1995]"
"19961774",1996,"Male",15,6,"(1995,2016]"
"20141559",2014,"Male",15,7,"(1995,2016]"
"19840884",1984,"Female",13,9,"[1974,1995]"
"19840602",1984,"Female",15,7,"[1974,1995]"
"19911135",1991,"Male",12,6,"[1974,1995]"
"19881387",1988,"Male",12,5,"[1974,1995]"
"20120582",2012,"Male",17,8,"(1995,2016]"
"19821004",1982,"Female",13,6,"[1974,1995]"
"19941474",1994,"Male",14,6,"[1974,1995]"
"19930060",1993,"Female",16,1,"[1974,1995]"
"19961864",1996,"Male",12,6,"(1995,2016]"
"20001670",2000,"Male",14,6,"(1995,2016]"
"20161285",2016,"Male",20,7,"(1995,2016]"
"19840936",1984,"Female",14,6,"[1974,1995]"
"19841203",1984,"Female",12,5,"[1974,1995]"
"20081515",2008,"Female",16,7,"(1995,2016]"
"20101103",2010,"Female",9,2,"(1995,2016]"
"19780537",1978,"Male",20,8,"[1974,1995]"
"20160566",2016,"Female",12,6,"(1995,2016]"
"19820059",1982,"Male",14,6,"[1974,1995]"
"19781471",1978,"Male",8,5,"[1974,1995]"
"20141383",2014,"Female",16,9,"(1995,2016]"
"19942126",1994,"Female",8,6,"[1974,1995]"
"19820298",1982,"Male",9,4,"[1974,1995]"
"19890594",1989,"Male",14,6,"[1974,1995]"
"20162834",2016,"Male",8,4,"(1995,2016]"
"19880312",1988,"Female",11,8,"[1974,1995]"
"19890758",1989,"Female",13,5,"[1974,1995]"
"19820074",1982,"Male",12,3,"[1974,1995]"
"20001819",2000,"Female",12,6,"(1995,2016]"
"19821243",1982,"Male",14,6,"[1974,1995]"
"20160148",2016,"Male",14,7,"(1995,2016]"
"20140100",2014,"Male",11,1,"(1995,2016]"
"20142212",2014,"Male",13,4,"(1995,2016]"
"20060183",2006,"Male",16,8,"(1995,2016]"
"19900108",1990,"Female",18,8,"[1974,1995]"
"20080646",2008,"Female",9,4,"(1995,2016]"
"19740341",1974,"Female",12,7,"[1974,1995]"
"20142056",2014,"Female",8,5,"(1995,2016]"
"20161964",2016,"Female",11,4,"(1995,2016]"
"19891017",1989,"Male",12,4,"[1974,1995]"
"20062447",2006,"Male",14,6,"(1995,2016]"
"20081267",2008,"Male",12,8,"(1995,2016]"
"20041849",2004,"Female",12,8,"(1995,2016]"
"19940629",1994,"Male",9,4,"[1974,1995]"
"19941508",1994,"Male",12,6,"[1974,1995]"
"19880119",1988,"Female",12,7,"[1974,1995]"
"20041196",2004,"Male",12,4,"(1995,2016]"
"20100682",2010,"Male",10,4,"(1995,2016]"
"19930259",1993,"Male",16,7,"[1974,1995]"
"19942461",1994,"Female",8,7,"[1974,1995]"
"20002045",2000,"Female",14,6,"(1995,2016]"
"19781452",1978,"Female",14,7,"[1974,1995]"
"19890413",1989,"Female",14,5,"[1974,1995]"
"19910414",1991,"Female",14,5,"[1974,1995]"
"19761421",1976,"Male",16,9,"[1974,1995]"
"20141666",2014,"Male",13,5,"(1995,2016]"
"20101355",2010,"Male",11,6,"(1995,2016]"
"20121179",2012,"Male",14,4,"(1995,2016]"
"20141808",2014,"Male",11,4,"(1995,2016]"
"19761018",1976,"Male",9,2,"[1974,1995]"
"19900482",1990,"Female",8,7,"[1974,1995]"
"19960597",1996,"Male",16,4,"(1995,2016]"
"19780268",1978,"Female",8,3,"[1974,1995]"
"20081694",2008,"Female",9,4,"(1995,2016]"
"20061673",2006,"Female",18,9,"(1995,2016]"
"19760117",1976,"Female",10,6,"[1974,1995]"
"19940918",1994,"Female",15,10,"[1974,1995]"
"20141117",2014,"Male",16,5,"(1995,2016]"
"19741272",1974,"Female",12,3,"[1974,1995]"
"19871401",1987,"Female",14,5,"[1974,1995]"
"19941790",1994,"Male",17,8,"[1974,1995]"
"19981448",1998,"Male",13,4,"(1995,2016]"
"19870446",1987,"Female",12,5,"[1974,1995]"
"19911229",1991,"Female",16,6,"[1974,1995]"
"19891425",1989,"Male",15,8,"[1974,1995]"
"20142095",2014,"Female",12,7,"(1995,2016]"
"19780848",1978,"Female",12,6,"[1974,1995]"
"19760684",1976,"Female",10,5,"[1974,1995]"
"20160521",2016,"Male",13,4,"(1995,2016]"
"19930611",1993,"Male",16,7,"[1974,1995]"
"19900076",1990,"Female",14,8,"[1974,1995]"
"19820765",1982,"Male",12,9,"[1974,1995]"
"19760181",1976,"Male",12,6,"[1974,1995]"
"20001675",2000,"Female",12,5,"(1995,2016]"
"19962444",1996,"Male",20,8,"(1995,2016]"
"20161578",2016,"Male",9,6,"(1995,2016]"
"19981045",1998,"Female",12,6,"(1995,2016]"
"19760526",1976,"Female",18,10,"[1974,1995]"
"19820515",1982,"Female",12,6,"[1974,1995]"
"19940572",1994,"Female",12,8,"[1974,1995]"
"19740059",1974,"Female",9,4,"[1974,1995]"
"19930549",1993,"Female",13,7,"[1974,1995]"
"20162654",2016,"Male",14,3,"(1995,2016]"
"20141877",2014,"Female",12,9,"(1995,2016]"
"20042385",2004,"Male",12,5,"(1995,2016]"
"19820543",1982,"Female",14,7,"[1974,1995]"
"19940601",1994,"Male",16,6,"[1974,1995]"
"20040850",2004,"Male",14,5,"(1995,2016]"
"19931456",1993,"Female",14,2,"[1974,1995]"
"20160073",2016,"Male",11,5,"(1995,2016]"
"20042190",2004,"Female",9,7,"(1995,2016]"
"19901347",1990,"Female",14,7,"[1974,1995]"
"19780660",1978,"Female",12,3,"[1974,1995]"
"19841159",1984,"Female",12,6,"[1974,1995]"
"20120397",2012,"Male",18,9,"(1995,2016]"
"19930278",1993,"Female",14,10,"[1974,1995]"
"19941609",1994,"Male",14,8,"[1974,1995]"
"20040928",2004,"Male",16,7,"(1995,2016]"
"20063455",2006,"Male",8,8,"(1995,2016]"
"19820303",1982,"Male",12,10,"[1974,1995]"
"20101767",2010,"Male",15,6,"(1995,2016]"
"20142241",2014,"Male",12,2,"(1995,2016]"
"19962897",1996,"Male",16,8,"(1995,2016]"
"19941822",1994,"Male",12,2,"[1974,1995]"
"19821382",1982,"Female",12,8,"[1974,1995]"
"19740056",1974,"Male",14,3,"[1974,1995]"
"20121019",2012,"Female",10,8,"(1995,2016]"
"19781164",1978,"Female",11,3,"[1974,1995]"
"19740694",1974,"Female",8,3,"[1974,1995]"
"20141874",2014,"Female",18,4,"(1995,2016]"
"19871353",1987,"Female",12,6,"[1974,1995]"
"19820577",1982,"Female",10,6,"[1974,1995]"
"19910060",1991,"Female",12,6,"[1974,1995]"
"19931380",1993,"Male",12,6,"[1974,1995]"
"19930180",1993,"Female",13,7,"[1974,1995]"
"19942505",1994,"Female",13,5,"[1974,1995]"
"20101616",2010,"Female",12,7,"(1995,2016]"
"19760211",1976,"Female",12,6,"[1974,1995]"
"19961295",1996,"Female",12,4,"(1995,2016]"
"20040682",2004,"Male",14,8,"(1995,2016]"
"20001629",2000,"Female",12,5,"(1995,2016]"
"20001943",2000,"Female",12,9,"(1995,2016]"
"19940380",1994,"Male",13,6,"[1974,1995]"
"20160680",2016,"Male",16,8,"(1995,2016]"
"19910198",1991,"Female",16,10,"[1974,1995]"
"20101743",2010,"Female",17,7,"(1995,2016]"
"20063057",2006,"Female",12,5,"(1995,2016]"
"20162662",2016,"Female",10,4,"(1995,2016]"
"20120836",2012,"Female",13,6,"(1995,2016]"
"19940117",1994,"Male",8,6,"[1974,1995]"
"19740247",1974,"Male",17,10,"[1974,1995]"
"20060346",2006,"Male",17,8,"(1995,2016]"
"20042362",2004,"Female",14,6,"(1995,2016]"
"19821298",1982,"Female",16,7,"[1974,1995]"
"20000843",2000,"Female",14,6,"(1995,2016]"
"19960716",1996,"Male",12,6,"(1995,2016]"
"19881393",1988,"Female",14,4,"[1974,1995]"
"20000315",2000,"Male",13,7,"(1995,2016]"
"20100838",2010,"Female",14,9,"(1995,2016]"
"20041881",2004,"Female",19,9,"(1995,2016]"
"19890542",1989,"Female",10,4,"[1974,1995]"
"19780978",1978,"Female",12,8,"[1974,1995]"
"19900878",1990,"Female",8,2,"[1974,1995]"
"20141331",2014,"Male",12,3,"(1995,2016]"
"20081708",2008,"Female",11,7,"(1995,2016]"
"20063202",2006,"Male",13,8,"(1995,2016]"
"20160087",2016,"Female",16,8,"(1995,2016]"
"20161793",2016,"Male",12,6,"(1995,2016]"
"19981117",1998,"Female",9,5,"(1995,2016]"
"19740898",1974,"Female",16,9,"[1974,1995]"
"19881445",1988,"Female",11,5,"[1974,1995]"
"19870855",1987,"Female",9,3,"[1974,1995]"
"19780637",1978,"Female",12,9,"[1974,1995]"
"19741322",1974,"Male",9,4,"[1974,1995]"
